char,count
獄,58812
續,58766
恒,58683
授,58586
漸,58051
右,57823
含,57730
愚,57657
象,57427
幻,57390
祇,57259
燈,57148
畏,57139
蓋,57039
a,56805
標,56787
繫,56664
杖,56400
勤,56364
青,56081
遮,55969
歎,55768
鉢,55530
癡,55362
臨,55242
超,55206
細,55077
旨,55059
露,54879
鼻,54865
待,54809
章,54702
代,54377
幾,54194
雪,54161
濟,53992
容,53973
里,53945
齊,53778
牛,53501
頓,53188
雙,52705
堅,52414
宣,52363
承,52361
你,52343
存,52328
權,52187
窮,52151
影,52105
特,51889
△,51686
室,51677
致,51558
述,51474
囉,51443
況,51265
忽,51116
任,50819
端,50798
慮,50382
什,50039
舌,49934
舊,49633
丈,49571
宮,49447
調,49357
悔,49311
陽,49105
獲,49081
唐,48814
害,48687
珠,48666
勸,48581
1,48532
吉,48498
節,48411
氏,48214
越,48199
良,47934
忘,47927
徒,47908
朝,47890
縛,47536
互,47526
瞋,47515
據,47448
春,47446
喝,46957
拈,46885
資,46818
恩,46809
守,46730
焉,46696
遇,46517
江,46502
置,46355
宜,46277
乞,46202
童,46116
笑,45930
甲,45852
眠,45820
演,45488
恐,45339
□,45303
個,45276
慢,45275
兒,45158
殿,45063
關,44900
君,44845
察,44682
回,44637
飲,44579
拜,44578
器,44375
垢,44349
翻,44161
峰,43904
无,43898
列,43835
呪,43735
億,43637
燒,43333
疾,42990
場,42958
序,42943
遣,42734
優,42651
服,42613
消,42525
憂,42471
浮,42319
源,42216
毛,41954
固,41945
弗,41690
懷,41396
辯,41388
臣,41107
野,41072
寒,41009
院,41006
救,41000
侍,40976
歷,40939
田,40938
留,40883
仁,40821
左,40624
厭,40476
點,40277
曇,40230
怖,40197
毒,39947
兼,39812
橫,39758
步,39724
簡,39642
檀,39622
逸,39556
契,39246
積,39202
仰,39157
羯,38861
寧,38766
交,38667
并,38454
懺,38426
陳,38387
領,38236
盛,38108
恁,37962
降,37897
乾,37861
鏡,37710
偏,37651
車,37638
收,37539
玉,37392
掌,37316
講,37312
拄,37280
泉,37262
熏,37230
融,37183
縱,37156
推,37044
辭,37024
注,36942
娑,36918
姓,36811
原,36726
再,36689
話,36529
連,36510
貴,36503
嗣,36443
段,36268
堪,36104
孔,35978
巧,35953
速,35898
肉,35859
民,35806
休,35792
闍,35677
友,35361
仙,35356
棄,35348
巖,35285
叉,35172
官,35123
例,35008
期,35000
弘,34986
接,34986
運,34973
讀,34948
亡,34942
客,34863
勞,34786
導,34670
秋,34669
誠,34553
呵,34458
視,34408
泥,34337
鳥,34320
顛,34299
補,34231
飛,34211
園,33947
典,33841
詣,33789
洞,33647
付,33636
恭,33616
樓,33604
毗,33602
勒,33596
擇,33434
骨,33346
希,33297
鐵,33292
臥,33283
載,33202
活,33053
徹,33046
勢,32746
嚩,32734
展,32555
飯,32535
夏,32490
毀,32485
尸,32451
張,32446
登,32416
助,32397
維,32130
憶,32055
臺,32020
孤,32014
勿,31929
遺,31866
慶,31856
呼,31854
熱,31836
免,31808
劣,31770
患,31758
諍,31712
揚,31680
戲,31590
唱,31582
減,31510
拂,31464
每,31369
咸,31350
奇,31147
敢,31086
逆,30946
畜,30885
宋,30881
謗,30628
垂,30544
默,30511
黑,30456
夷,30312
專,30289
曲,30253
峯,30206
2,30061
才,30030
群,29923
談,29856
菴,29808
備,29789
池,29756
質,29736
喚,29606
賊,29599
