work_id,title,byline,creators,creators_with_id
A1057,新譯大方廣佛華嚴經音義,唐 慧菀述,慧菀,慧菀(A001713)
A1267,大唐開元釋教廣品歷章(第5卷-第20卷),唐 玄逸撰,玄逸,玄逸(A000295)
A1490,天聖釋教總錄,宋 惟淨等編修,惟淨,惟淨(A001072)
A1493,大中祥符法寶錄(第13卷-第20卷),宋 楊億等編修,楊億,楊億(A001446)
A1494,景祐新修法寶錄,宋 呂夷簡等編修,呂夷簡,呂夷簡(A000457)
A1504,佛說大乘僧伽吒法義經,宋 金總持等譯,金總持,金總持(A000001)
A1505,佛說清淨毘奈耶最上大乘經,宋 智吉祥等譯,智吉祥,智吉祥(A001255)
A1548,因明論理門十四過類疏,唐 窺基撰,窺基,窺基(A001019)
A1561,瑜伽師地論義演(第33卷-第40卷),唐 清素．澄淨述,"清素,澄淨",清素(A001088);澄淨(A001752)
