work_id,title,byline,creators,creators_with_id
B0175,喫茶養生記,榮西著,榮西,榮西(A001624)
B0176,四宗要文,日朝著 英園纂補,"日朝,英園",日朝(A034475);英園(A034476)
B0177,本朝諸宗要集,義觀述,義觀,義觀(A034478)
B0178,東大寺六宗未決義,"","",""
B0179,八海含藏,師鍊著,師鍊,師鍊(A000919)
B0180,華嚴通關,定仙著,定仙,定仙(A034480)
B0181,諸宗教理同異釋,賴瑜釋,賴瑜,賴瑜(A001828)
B0182,內典塵露章,凝然述,凝然,凝然(A001772)
B0183,禪祖念佛集,慧中集,慧中,慧中(A034481)
B0184,顯揚正法復古集,普寂著,普寂,普寂(A001219)
B0185,初學題額集,良山集,良山,良山(A034489)
B0186,三國佛法傳通緣起,凝然述,凝然,凝然(A001772)
B0187,二障義,元曉著,元曉,元曉(A000136)
B0189,大華嚴一乘法界圖註并序,雪岑著,雪岑,雪岑(A034492)
B0190,華嚴經釋題,雪岑著,雪岑,雪岑(A034492)
B0191,義相法師法性偈,有聞科註 聖奎證正,"有聞,聖奎",有聞(A034499);聖奎(A034500)
B0192,釋文紀,梅鼎祚輯,梅鼎祚,梅鼎祚(A034504)
B0193,吳都法乘,周永年編,周永年,周永年(A018586)
B0194,中華大藏經總目錄,蔡念生編,蔡念生,蔡念生(A010533)
B0195,頓悟大乘政理決,王錫著,王錫,王錫(A034507)
B0196,大乘中宗見解,"","",""
B0197,摩訶婆羅多的故事,拉賈戈帕拉查理改寫 唐季雍譯,"拉賈戈帕拉查理,唐季雍",拉賈戈帕拉查理(A034514);唐季雍(A034515)
B0198,博伽梵歌,雅蘇瑪蒂書達．踏薩譯,雅蘇瑪蒂書達．踏薩,雅蘇瑪蒂書達．踏薩(A034521)
