work_id,title,byline,creators,creators_with_id
ZW0069,二曜金剛合璧,通源整理,通源,通源(A034984)
ZW0070,敦煌寺院所藏大藏經概貌,方廣錩,方廣錩,方廣錩(A033779)
ZW0071,《慧琳音義》與唐代大藏經,方廣錩,方廣錩,方廣錩(A033779)
ZW0072,佛性觀修善法,信行撰　西本照真整理,"信行,西本照真",信行(A005957);西本照真(A034986)
ZW0073a,金剛經讚集,達照整理,達照,達照(A034926)
ZW0073b,金剛經讚集（擬）,達照整理,達照,達照(A034926)
ZW0073c,金剛經讚集（擬）,達照整理,達照,達照(A034926)
ZW0073d,金剛經注頌釋,達照整理,達照,達照(A034926)
ZW0073e,金剛經頌（擬）,達照整理,達照,達照(A034926)
ZW0073f,梁朝傅大士頌金剛經,達照整理,達照,達照(A034926)
ZW0073g,梁朝傅大士頌金剛經,達照整理,達照,達照(A034926)
ZW0073h,梁朝傅大士夾頌金剛經,達照整理,達照,達照(A034926)
ZW0074,寶髻大王菩薩本緣,任遠譯,任遠,任遠(A034989)
ZW0075,寶髻本緣,克什曼德拉原著　任遠譯,"克什曼德拉,任遠",克什曼德拉(A034990);任遠(A034989)
ZW0076,三階教文獻綜述,西本照真,西本照真,西本照真(A034986)
ZW0077,關於江泌女子僧法誦出經,方廣錩,方廣錩,方廣錩(A033779)
