A000508,曷利沙伐彈那
A000509,戒月
A000511,戒度
A000512,戒香
A000513,戒珠
A000514,戒環
A000516,李師政
A000517,李通玄
A000518,李無諂
A000519,李華
A000520,李遵勗
A000523,杜行顗
A000524,杜朏
A000525,釋杜順
A000526,求那毗地
A000527,求那跋陀羅
A000529,沙囉巴
A000530,沈孟柈
A000531,沈善登
A000533,良圭
A000534,良玓
A000535,釋良忠
A000536,良信
A000537,良彥
A000540,良賁
A000543,見登
A000544,見登之
A000545,那連提黎耶舍
A000546,那提
A000548,忻悟
A000549,來舟
A000550,具德
A000553,受汰
A000554,受教
A000555,受登
A000556,周上智
A000558,周克復
A000560,周理
A000561,周琪
A000562,周思仁
A000563,孟獻忠
A000565,宗亘
A000567,宗文
A000568,宗本
A000569,宗永
A000570,宗先
A000571,宗印
A000572,宗成
A000574,宗和
A000575,宗坦
A000579,宗法
A000581,宗泐
A000583,宗胤
A000584,釋妙超
A000585,宗茙
A000586,宗寄
A000587,宗密
A000588,宗清
A000589,釋宗淨
A000590,宗紹
A000591,宗翌
A000592,宗敬
A000593,宗會
A000594,宗煥
A000595,宗義
A000596,宗壽
A000598,宗滿
A000600,宗遠
A000601,宗曉
A000602,宗豫
A000603,宗叡
A000604,宗應
A000605,宗謐
A000606,宗賾
A000607,宗鏡
A000608,宗黼
A000609,宗寶
A000611,宗鑑
A000614,定賓
A000616,居頂
A000618,岳玄
A000619,帛尸梨密多羅
A000620,延一
A000621,延俊
A000622,延輝
A000626,念常
A000629,性亮
A000630,性祇
A000631,性胤
A000632,性音
A000633,性朗
A000634,性起
A000635,性統
A000638,性鉅
A000639,性福
A000640,性澄
A000641,性磊
A000642,性養
A000644,性聰
A000645,性權
A000649,拂多誕
A000650,拔合思巴
A000654,明凡
A000655,中峰明本
A000657,明佺
A000658,明河
A000659,明空
A000660,明昱
A000661,明恂
A000662,明海
A000663,明康
A000665,明教
A000666,明喜
A000668,明滿
A000669,明遠
A000670,明皛
A000671,明徽
A000672,明總
A000673,明曠
A000679,果性
A000680,果能
A000681,林弘衍
A000682,林兆恩
A000685,武徹
A000686,波羅頗迦羅蜜多羅
A000687,波羅瞿那彌捨沙
A000688,法璹
A000689,法上
A000690,法天
A000691,法月
A000693,法立
A000695,法全
A000696,法成
A000698,法孜
A000699,法宏
A000701,法秀
A000702,法奇
A000703,法林
A000704,法泉
A000705,法洪
A000707,法炬
A000708,法盈
A000710,法恩
A000711,法悟
A000712,法海
A000713,法堅
A000715,法從
A000716,法救
A000718,法清
A000719,法盛
A000720,法眾
A000722,法勝
