char,count
歡,58883
恒,58607
蓮,58557
獄,58218
授,57701
續,57565
右,57399
愚,56984
漸,56915
含,56912
象,56721
祇,56682
畏,56415
杖,56335
繫,56335
燈,56316
幻,55918
勤,55815
蓋,55672
青,55663
標,55528
遮,55527
歎,55424
鉢,55370
臨,54833
癡,54692
旨,54556
鼻,54511
露,54489
細,54266
超,54233
待,54149
雪,53973
里,53798
章,53675
幾,53674
濟,53400
齊,53355
容,53130
牛,53068
頓,52539
雙,52394
你,52015
代,51996
堅,51712
△,51685
權,51651
窮,51579
承,51566
宣,51467
影,51308
室,51214
存,51022
囉,50924
致,50880
忽,50699
特,50642
況,50544
端,50431
述,50339
任,50266
慮,50016
舌,49554
什,49480
舊,49425
丈,49323
宮,48987
調,48816
陽,48790
悔,48769
珠,48333
獲,48324
吉,48251
勸,48099
唐,48088
害,48068
越,47845
氏,47771
忘,47629
良,47618
節,47597
徒,47476
朝,47397
春,47356
縛,47035
瞋,46982
喝,46901
拈,46788
互,46752
焉,46398
守,46394
江,46251
置,46025
據,46016
遇,45992
恩,45939
乞,45937
宜,45878
笑,45855
童,45829
眠,45590
資,45496
甲,45000
兒,44897
□,44853
演,44838
殿,44820
恐,44816
慢,44770
a,44716
君,44659
飲,44258
拜,44247
回,44100
无,43862
呪,43700
峰,43692
器,43665
翻,43638
察,43577
垢,43524
關,43497
個,43331
列,43212
億,43015
燒,42993
疾,42599
序,42288
遣,42277
服,42248
憂,42121
優,42098
場,42044
消,42000
浮,41931
毛,41729
源,41649
弗,41156
固,41120
懷,41078
辯,41032
寒,40900
侍,40879
臣,40847
野,40769
田,40615
院,40442
仁,40420
留,40353
左,40247
救,40138
歷,40044
厭,39998
曇,39995
毒,39631
怖,39551
橫,39539
逸,39266
兼,39259
檀,39256
點,39173
步,39159
簡,38970
羯,38683
契,38632
仰,38538
積,38527
寧,38503
并,38191
交,38157
恁,37951
陳,37905
懺,37855
領,37685
乾,37562
盛,37505
降,37348
拄,37278
車,37268
玉,37259
偏,37251
鏡,37214
泉,37190
掌,36944
縱,36892
辭,36723
融,36554
收,36485
姓,36441
嗣,36399
娑,36381
注,36342
話,36243
熏,36207
推,36205
貴,36165
連,36160
孔,35842
再,35834
講,35825
堪,35806
休,35613
肉,35513
巧,35475
闍,35453
速,35436
巖,35259
段,35182
原,35158
仙,35098
棄,35092
友,35091
民,34830
官,34830
亡,34632
秋,34616
叉,34586
客,34532
1,34516
運,34513
接,34487
例,34472
勞,34472
呵,34372
弘,34312
誠,34169
讀,34157
鳥,34122
泥,34091
飛,34026
視,33964
導,33947
期,33882
園,33757
顛,33744
詣,33586
補,33498
洞,33435
骨,33257
樓,33248
恭,33181
臥,33137
付,33125
毗,33124
鐵,33082
擇,32904
勒,32869
徹,32742
載,32711
希,32628
活,32464
嚩,32455
飯,32326
夏,32311
尸,32298
勢,32275
毀,32139
張,32084
登,32035
典,32000
助,31973
展,31937
孤,31879
憶,31777
慶,31688
勿,31672
呼,31652
臺,31646
熱,31595
諍,31512
患,31472
維,31454
唱,31430
拂,31412
劣,31403
免,31376
戲,31273
遺,31199
揚,31194
咸,31124
減,31120
奇,31006
敢,30943
每,30792
逆,30704
畜,30633
謗,30418
默,30322
垂,30304
宋,30294
峯,30189
黑,30182
夷,30172
曲,30064
池,29646
菴,29638
喚,29523
群,29482
錢,29468
談,29442
賊,29426
備,29426
才,29345
專,29262
延,29078
強,29033
皇,29002
損,28995
齋,28794
背,28756
質,28733
迹,28510
虎,28502
美,28448
富,28425
軍,28315
予,28251
角,28054
顧,28009
送,27975
適,27964
房,27945
驚,27930
髮,27912
痛,27908
芻,27900
暗,27766
題,27746
科,27731
苾,27662
盧,27622
改,27405
武,27383
詮,27299
鼓,27291
蘭,27253
錯,27089
穢,27010
甘,26970
溪,26895
投,26815
星,26791
審,26755
擬,26692
塞,26677
刀,26593
逢,26545
猛,26422
把,26357
岸,26286
誓,26258
竹,26219
棒,26114
枝,26101
准,26088
脚,26070
網,25907
畫,25883
徵,25863
否,25756
奪,25727
單,25510
赤,25479
竺,25476
責,25404
楞,25353
陵,25323
眷,25295
走,25286
給,25210
謝,25070
耨,25068
悅,24980
索,24979
梨,24956
松,24884
饒,24883
瑜,24841
恚,24826
寄,24809
詩,24783
貧,24780
祥,24634
孝,24480
史,24425
詳,24262
余,24177
梁,24094
彰,24015
負,24008
妨,23999
冥,23897
純,23886
幢,23880
判,23833
衛,23800
胡,23760
限,23701
魚,23608
曉,23520
幽,23500
胎,23498
擊,23462
遷,23448
充,23434
爭,23416
勇,23402
怨,23387
茶,23287
台,23277
喫,23209
圖,23190
逐,23115
卻,23114
珍,23065
酒,23042
拘,23013
盜,23007
惠,22877
帶,22782
條,22765
吳,22764
禁,22748
蘇,22695
鈔,22630
烏,22546
途,22506
移,22505
嘗,22474
省,22474
短,22413
孫,22380
紙,22282
仍,22272
纏,22262
京,22253
李,22197
蒙,22157
藐,22111
早,22111
兄,22052
御,22030
圍,22021
尺,22015
塗,21898
毫,21891
鳴,21878
洗,21871
樣,21870
旬,21869
趙,21854
壁,21820
〇,21768
急,21758
附,21630
崇,21629
肯,21623
預,21622
濁,21618
嘉,21612
素,21595
卓,21546
招,21544
脩,21544
徑,21530
晉,21488
賜,21470
衲,21465
皮,21413
拔,21393
殘,21392
快,21390
私,21382
工,21368
狀,21308
敘,21297
涉,21283
婬,21174
申,21166
折,21111
跡,21101
淺,21077
麤,21027
歌,20952
商,20898
闕,20790
愍,20725
眉,20715
瓶,20702
覩,20647
案,20642
尾,20615
血,20605
廢,20593
瞿,20579
2,20569
庵,20559
府,20553
隔,20483
篇,20383
認,20379
族,20315
按,20227
瑞,20208
賓,20123
召,20120
憍,20011
乳,19977
干,19956
值,19941
閻,19890
婦,19869
宅,19821
跋,19820
薄,19789
牒,19786
率,19560
吹,19409
啟,19380
突,19374
戶,19353
牟,19324
傷,19278
驗,19264
納,19183
伊,19165
蛇,19160
返,19151
寫,19134
閣,19119
曹,19105
銀,19085
保,19084
吒,19043
司,19016
幸,18994
準,18932
統,18928
博,18923
愧,18901
睡,18885
壇,18833
屈,18810
累,18803
詔,18771
污,18745
哀,18735
晝,18711
懸,18702
怛,18680
贊,18663
纔,18661
