work_id,char_count
L1490,415001
L1557,1974486
L1571,5958
L1600,49296
L1608,87790
L1629,10446
L1635,525
L1636,60590
L1637,105500
L1638,91282
L1639,146624
L1640,92993
L1641,74403
L1642,29212
L1643,141250
L1649,36230
L1651,6086
L1652,137269
L1666,1224
L1668,161162
L1669,202484
