work_id,char_count
F1050,1163
F1056,1163
F1064,896
F1062,1163
F1063,7657
F1061,5130
F1048,6545
F1060,1204
F1098,1550
F1099,604
F1071,241844
F1072,209690
F1076,795
F1084,6849
F1081,896
F1083,451
F1082,136
F0089,922
F0248,1537
F0088,4978
F0100,12901
F0181,1737
F0069,3907
F0041,7846
F0761,1051
F0546,388
F0016,266
