work_id,char_count
N0007,784609
N0005,563619
N0006,638404
N0018,1144044
N0022,236028
N0036,36707
N0037,24697
N0038,11088
N0024,127492
N0025,193137
N0023,159413
N0030,270649
N0033,96457
N0032,48433
N0028,456838
N0029,1094740
N0004,334742
N0031,197515
N0017,206293
N0001,308340
N0012,55356
N0013,32304
N0019,193762
N0020,36268
N0021,11527
N0016,17341
N0014,21900
N0015,42422
N0011,25995
N0010,41246
N0009,12744
N0008,3030
N0002,346902
N0034,203566
N0035,415544
N0026,46650
N0027,34831
N0003,119380
