work_id,char_count
N0007,647906
N0005,460989
N0006,526299
N0018,996039
N0022,184103
N0036,31717
N0037,18737
N0038,9426
N0024,110647
N0025,160936
N0023,124214
N0030,208472
N0033,77819
N0032,39166
N0028,405491
N0029,948449
N0004,275230
N0031,160135
N0017,175362
N0001,250796
N0012,49948
N0013,27806
N0019,167031
N0020,30526
N0021,9818
N0016,14226
N0014,17957
N0015,35168
N0011,21574
N0010,34626
N0009,10768
N0008,2508
N0002,280754
N0034,166180
N0035,327324
N0026,39556
N0027,29659
N0003,100778
